FECHA,EMISOR,MONEDA,TASA,TASA/MARGEN,PLAZO (en meses),VN,CALIFICACIÓN
8-jul-25,Profertil S.A.,USD Mep,Fija,"7,25%",24,"54,30",AAA (Moody´s)
3-jul-25,CRESUD,USD Mep,Fija,"8,00%",36,"43,70",AAA
3-jul-25,Havanna,USD Mep,Fija,"8,75%",36,"18,50",A+
2-jul-25,Compañía MEGA,USD Mep,Fija,"7,50%",24,"59,60",AAA
30-jun-25,Telecom,USD Mep,Fija,"7,50%",24,"50,50",AA+
24-jun-25,Pluspetrol,USD Int,Fija,"8,50%",83,"200,00",BB (Fitch) / B3 (Moody’s)
17-jun-25,Banco Macro,USD Int,Fija,"8,00%",48,"400,00",Caa2 (Moody´s) / CCC+ (Fitch Ratings)
12-jun-25,Capex,USD Mep,Fija,"7,75%",36,"45,10",AA
12-jun-25,ICBC,ARS,Tamar,"3,25%",12,"3478,20",A1+
11-jun-25,Oleoductos del Valle,USD Mep,Fija,"7,89%",36,"85,00",AAA
10-jun-25,Supervielle,ARS,Tamar,"3,25%",12,"28355,00",A-1 (Moody´s)
5-jun-25,BBVA,ARS,Tamar,"3,20%",12,"115034,50",A1+
4-jun-25,Credicuotas Consumo,ARS,Tamar,"6,00%",12,"11598,80",A1
4-jun-25,VISTA,USD Int,Fija,"8,50%",96,"500,00",BB- (Fitch Ratings)
29-may-25,BBVA,USD Mep,Fija,"5,75%",12,"62,30",A1+
29-may-25,Banco de Servicios Financieros,ARS,Tamar,"6,00%",12,"16237,00",A2
29-may-25,Pecom,USD Mep,Fija,"7,50%",24,"30,20",AA-
23-may-25,Banco de Galicia y Buenos Aires,USD Mep,Fija,"4,00%",7,"68,70",A-1 (Moody´s)
23-may-25,Banco de Galicia y Buenos Aires,USD Mep,Fija,"5,90%",12,"31,30",A-1 (Moody´s)
22-may-25,Comafi,ARS,Tamar,"3,50%",12,"11585,00",A1+
22-may-25,Comafi,USD Mep,Fija,"4,50%",6,"35,40",A1+
22-may-25,John Deere,USD Mep,Fija,"7,50%",24,"42,10",AA
22-may-25,Pluspetrol,USD Int,Fija,"8,50%",84,"450,00",B3 (Moody´s) / BB (Fitch Ratings)
22-may-25,Supervielle,USD Mep,Fija,"4,50%",6,"59,30",A-1 (Moody´s)
22-may-25,Telecom,USD Int,Fija,"9,25%",96,"800,00",B-RR3 (Moody´s)
21-may-25,Santander,ARS,TEM,"2,65%",6,"20750,00",A1+
21-may-25,Santander,ARS,Tamar,"3,25%",12,"65840,00",A1+
21-may-25,Toyota,ARS,Tamar,"3,75%",21,"14000,00",AA+
20-may-25,Pampa Energía,USD Int,Fija,"7,88%",115,"340,00",B/RR3 (Fitch)
19-may-25,CNH Industrial Capital Argentina,USD Mep,Fija,"8,25%",24,"25,20",AA
15-may-25,YPF Energía Eléctrica,USD Mep,Fija,"6,50%",24,"53,80",AAA
9-may-25,Supervielle,ARS,Tamar,"3,50%",6,"48196,80",A-1 (Moody's)
8-may-25,Distribuidora de Electricidad de Mendoza,USD Mep,Fija,"8,00%",30,"12,30",A+
